[-1.00676076e+00 -1.87850096e-04 -3.19858895e-01 -3.21660871e+00
  5.67268357e-01  6.76094310e-01] -276.0655514745851
[ 0.5169277  -0.8015277   0.65685942 -2.97469367  2.63666034  0.01835115] -218.30282457781564
[ 0.88248382 -0.83357979  0.86445091 -2.41214677  3.06549891 -0.24405498] -217.4770336998784
[ 0.9493764  -0.41391932  0.59684766 -3.10289265  3.25478087  0.89387323] -216.905051325881
[ 0.84493243 -0.40867199  0.69796671 -3.55463049  3.79493563  1.26130175] -218.80106298135107
[ 1.10538256 -1.12221606  1.2112114  -3.51923909  3.04043843  0.43774814] -216.62735214722656
[ 1.16355497 -1.73804022  1.82461897 -4.2223456   3.25800486  0.31421009] -220.2464060935524
[ 1.03970203 -1.04184715  2.35214077 -2.49579677  3.25659428 -0.48758636] -218.43627087549646
[ 1.0466226  -0.84607449  1.62295633 -2.67988784  3.08043868 -0.03642574] -216.7881016003743
[ 1.76672364 -0.51392489  1.45271668 -2.65499554  3.31983195  0.79285962] -219.6772770272814
[ 0.82937668 -0.72962699  0.85582373 -2.89476914  2.80745324  0.21197827] -216.60030114560712
[ 1.38346514 -0.44722186  1.24224946 -3.37841656  2.80497815  1.20727684] -216.51797077982943
[ 1.6339558  -0.25404289  1.43114874 -3.86155146  2.67471777  1.93294275] -218.48479354256125
[ 1.32749727 -0.9347837   1.44136282 -3.80467549  3.16834084  0.71768804] -216.67118127288222
[ 0.39652331 -1.13869831  1.09978734 -3.61907899  3.35167014  0.24752415] -216.6278622533149
[ 1.08024612 -1.32562115  1.89428271 -3.52912972  2.82965896  0.03472334] -218.70737922287535
[ 0.98209383 -0.64184477  0.92120642 -3.20945192  3.14850039  0.67908576] -216.07880204737518
[ 0.96149033 -0.82538941  0.63425739 -4.12865589  3.02668839  1.20352614] -218.47662994079332
[ 1.02533954 -0.84090322  1.3757816  -3.04207985  3.06700111  0.27356223] -216.12484004057515
[ 0.57989641 -0.7053867   0.79399049 -2.7496697   2.90500632  0.30137042] -216.82806193137992
[ 1.14059706 -0.87743445  1.27951974 -3.54092404  3.10250721  0.61360864] -216.18036739265602
[ 1.75889496 -0.41438414  1.19547678 -2.90921454  2.6386227   0.89356247] -216.9476923299875
[ 0.73711622 -0.95761977  1.1237097  -3.44161288  3.17340828  0.40903373] -216.1314790188307
[ 0.92728026 -0.37600096  1.05488548 -2.98317904  2.9941777   0.69376701] -216.21236235902035
[ 1.23592067 -0.65071468  1.47662707 -3.63711896  3.28940437  1.08013313] -216.27702421773452
[ 0.63265072 -1.00095076  1.16832721 -3.23970567  3.45335487  0.04245333] -216.45017050327428
[ 0.82035433 -0.86251853  1.18680777 -3.27438339  3.29126069  0.3336592 ] -216.04924685433483
[ 0.64167308 -0.86805922  0.83734317 -2.86009141  2.96954742 -0.07922761] -216.781051937141
[ 1.08735877 -0.70505082  1.31680609 -3.44286207  3.20944014  0.79029295] -215.97455540050208
[ 1.00367298 -1.25245623  1.34639163 -3.66725901  3.33652824  0.33931382] -216.42037830181047
[ 0.94637844 -0.59511478  1.12776202 -3.15419903  3.07976533  0.60515371] -215.98742162216587
[ 0.72561665 -0.65691618  1.07117146 -2.98060568  3.22061811  0.41665389] -216.43426106889694
[ 1.03685196 -0.82230488  1.22743267 -3.40084445  3.13203493  0.56436995] -215.97215081557272
[ 1.2290094  -0.5316259   1.26155583 -3.06632736  3.13592592  0.67300753] -216.38122491687415
[ 0.86008952 -0.8511213   1.15817123 -3.3477915   3.16403769  0.47502718] -215.95754351303646
[ 0.88570275 -0.65174848  0.93694714 -3.56776427  3.27467862  0.87563402] -215.95442076232112
[ 0.81588435 -0.55717111  0.71752991 -3.83060648  3.37851737  1.17666992] -216.18540789632183
[ 0.89681809 -0.85410815  1.39676922 -3.51982966  3.23523874  0.53562658] -215.93518974327384
[ 0.85418022 -0.96023984  1.63455062 -3.67501853  3.27860792  0.463897  ] -216.17963390525318
[ 1.08404552 -0.63063094  1.20115502 -3.5367136   3.07380446  0.94837559] -216.0416707838549
[ 1.01812272 -0.68860283  1.19756821 -3.47113105  3.12816852  0.7946965 ] -215.93299907561402
[ 0.98193615 -0.92919738  1.2834695  -3.76254196  3.30143421  0.74006201] -216.1222188279485
[ 0.95526787 -0.67863543  1.16668889 -3.30628477  3.13518255  0.63888079] -215.91116455823823
[ 0.79692553 -0.81045621  1.04438636 -3.42835316  3.14700688  0.50445206] -216.01120813554843
[ 1.01475046 -0.73140216  1.24870116 -3.43923484  3.19383182  0.71883272] -215.91504873679517
[ 0.84006518 -0.66290124  1.14084928 -3.48316758  3.24501105  0.78186265] -215.8704715674803
[ 0.74167179 -0.58319941  1.09755758 -3.52432915  3.30149911  0.890609  ] -215.9099144808084
[ 1.01015284 -0.5713448   1.20433673 -3.58134589  3.23999941  0.97348391] -215.94997709565692
[ 1.02602297 -0.74391639  1.51469069 -3.36590033  3.11779875  0.60549369] -215.94600233778894
[ 0.90686293 -0.88184394  1.35075242 -3.28050352  3.1117444   0.38498041] -216.01682799423497
[ 0.98433036 -0.64896958  1.24094066 -3.5061353   3.20793566  0.82635803] -215.89411523970355
[ 0.87709525 -0.67762341  0.94914844 -3.54269407  3.2639907   0.82659206] -215.93897504423373
[ 0.91432718 -0.69419665  1.09053401 -3.49849564  3.22744271  0.77131747] -215.89584503618946
[ 1.0121365  -0.51412781  0.96499151 -3.3816534   3.14395203  0.9750228 ] -216.04292841661655
[ 0.92564769 -0.76911307  1.28882479 -3.48528559  3.21241706  0.64547564] -215.88656459333978
[ 0.86000686 -0.70646988  1.19461139 -3.43507019  3.2791051   0.6662126 ] -215.8922245272184
[ 0.81179792 -0.65535978  1.12544851 -3.46557818  3.24186622  0.72453634] -215.8672739544325
[ 0.71032165 -0.61733859  1.06382218 -3.47874984  3.26588342  0.72738814] -215.89010677911955
[ 0.82345719 -0.70036797  1.19371399 -3.65162606  3.33607671  0.83304012] -215.87143388265406
[ 0.83410789 -0.68686385  1.3042622  -3.51045866  3.28002789  0.72117766] -215.85173939148555
[ 0.79399824 -0.68319746  1.41112629 -3.51644017  3.30632048  0.69610775] -215.861569134051
[ 0.71403055 -0.74472235  1.17496273 -3.50426012  3.32356569  0.63107697] -215.8839050270582
[ 0.78969528 -0.69997288  1.21474245 -3.59838854  3.26721644  0.77951052] -215.8674040873656
[ 0.67873698 -0.61428296  1.09583492 -3.58587412  3.35217094  0.84492578] -215.89781858045922
[ 0.86392001 -0.73040554  1.24057733 -3.51043272  3.24735553  0.69533817] -215.860491863661
[ 0.94031727 -0.63390141  1.23156852 -3.56895712  3.21561893  0.88074485] -215.88661775338275
[ 0.77060223 -0.71701711  1.18911418 -3.52043437  3.296579    0.69349394] -215.86158292040324
[ 0.81327231 -0.6838055   1.21128399 -3.37786063  3.189942    0.6322663 ] -215.88053238015314
[ 0.82091097 -0.69622735  1.19810649 -3.5831847   3.29954303  0.78284667] -215.85810416191717
[ 0.79027959 -0.73238094  1.28323444 -3.57965814  3.29918499  0.68377178] -215.85434353526975
[ 0.84084426 -0.70611198  1.23217193 -3.45819372  3.28763578  0.654211  ] -215.87518105070927
[ 0.80248252 -0.70150765  1.21909982 -3.56333984  3.27232128  0.74818564] -215.85510162234672
[ 0.81563648 -0.7661077   1.35268297 -3.6235913   3.32313769  0.71706828] -215.8681416214232
[ 0.81275756 -0.68304676  1.18225713 -3.50508146  3.26218409  0.72266932] -215.85585739870086
[ 0.87088395 -0.69312692  1.28673162 -3.56361747  3.25695994  0.75783581] -215.85463945496542
[ 0.77988748 -0.66731229  1.25065324 -3.59134736  3.30938487  0.77682412] -215.8464484487895
[ 0.73787122 -0.63576566  1.25569119 -3.63180468  3.34039955  0.81756709] -215.8495115818473
[ 0.80922203 -0.69185212  1.31063966 -3.52131628  3.26047799  0.68730811] -215.8463888798234
[ 0.80337755 -0.6896645   1.36690624 -3.49038207  3.24094546  0.63953883] -215.8562326618059
[ 0.81619692 -0.70796783  1.3692832  -3.60483113  3.29726823  0.73569838] -215.85247474556866
[ 0.83104343 -0.69166033  1.38250163 -3.56040318  3.29544669  0.70601964] -215.84650507404683
[ 0.74936183 -0.6995522   1.34679316 -3.55905412  3.32363695  0.67909742] -215.85384099786856
[ 0.81632693 -0.64935527  1.37147659 -3.53614543  3.28956255  0.75160333] -215.84823950974425
[ 0.8795664  -0.6654517   1.31614567 -3.54911323  3.25375246  0.78044632] -215.8517778735846
[ 0.83385446 -0.64286402  1.27594313 -3.48476359  3.26561592  0.73876134] -215.853803773273
[ 0.82061131 -0.69169188  1.34594818 -3.57481424  3.28935515  0.73646412] -215.8456085496896
