[-0.82070092 -0.93912378 -0.5227346   0.54200774  0.07247402  0.42810327] -304.04454827681195
[ 5.1605583   0.25206951  1.65916186  3.53115073  2.8922053  -1.07420308] -240.874282383075
[ 5.22813043 -0.59866998  3.00545948  4.16532208  3.66918739 -1.67109724] -241.1332199082083
[ 5.61926728 -0.03421677  2.01299376  4.2629466   3.81274686 -1.48167793] -240.01236826466757
[ 6.06935252 -0.00738905  1.8312396   4.60121689  4.41533676 -1.58556352] -240.74176520364702
[ 5.88897637  0.29197776  3.50823683  3.59931848  2.98663135 -1.63339016] -241.1575555602373
[ 5.60219668  0.13920726  2.9222258   3.76280442  3.12208567 -1.52805896] -240.4125576556678
[ 5.52739228  0.81750257  1.63922548  3.5530861   2.66352536 -1.12667886] -241.46321168865612
[ 5.3029459  -0.24462684  2.66390098  4.01226309  3.41777188 -1.53499264] -240.42035375254224
[ 5.61706914 -0.42297123  2.21562171  4.08513348  3.5133639  -1.4332101 ] -239.87685573151757
[ 5.83581538 -0.84455491  2.07954621  4.26368932  3.78556855 -1.44622883] -240.22579868014049
[ 5.78825777 -0.47985816  3.22971915  4.46666546  3.79716607 -1.88584868] -240.92327610074463
[ 5.31748317  0.06908759  2.05180118  3.76502941  3.11844549 -1.27711448] -240.26528672243575
[ 5.73066748  0.05299433  2.70062534  4.09386851  3.74934639 -1.48933904] -239.81421170269192
[ 5.9745101   0.17614916  2.97386699  4.20619371  4.13170453 -1.52285197] -239.83105002617594
[ 5.81327768  0.20351289  2.20310786  3.97802535  3.42672946 -1.36144169] -239.96407385999234
[ 5.58438724 -0.158886    1.70507707  4.29922432  3.82396359 -1.31283629] -239.94798514877442
[ 5.765397   -0.16938336  1.59865023  4.16032635  3.93068287 -1.30530401] -240.41432966432393
[ 5.5378395   0.01207188  2.42298161  4.04089374  3.39580749 -1.43625288] -239.9561190605342
[ 5.98335294 -0.18491923  2.3683346   4.48833458  4.12220707 -1.56113816] -239.96716329446443
[ 5.80293071 -0.13184901  2.52558897  4.06554672  3.53105911 -1.38306146] -239.6098493054074
[ 5.89476243 -0.18066513  2.78188657  3.96684679  3.39021523 -1.33375323] -239.58245309484482
[ 5.40931489  0.02027147  2.30809879  3.66632948  2.97760161 -1.22780625] -240.13173986514894
[ 5.83984342 -0.13362155  2.35327565  4.28283331  3.83605571 -1.47780518] -239.743766017559
[ 5.58824538 -0.48053879  2.52338145  4.27824137  3.80952131 -1.46629055] -239.75321762477103
[ 5.88048553 -0.45330134  2.33697431  4.29448885  3.97834789 -1.40149192] -239.64835022273581
[ 5.93263722 -0.3804819   3.26551127  4.03457978  3.60165321 -1.55446038] -239.92125178765275
[ 5.84557473 -0.32508293  2.87540272  4.10074092  3.65723081 -1.49405436] -239.69331305498383
[ 5.97612385 -0.08376725  2.97489364  4.2538731   3.96020854 -1.45436798] -239.51567806504488
[ 6.15565121  0.08583474  3.35452961  4.33824291  4.18363087 -1.46494693] -239.65899587406534
[ 5.9443443  -0.60531999  2.58131278  4.29847293  3.79451344 -1.38658204] -239.52693560619252
[ 6.20546604 -0.1133806   2.7778671   4.12084393  3.72933589 -1.38306102] -239.72832824497684
[ 6.0757422  -0.45355086  3.0895034   4.06225553  3.66722823 -1.339965  ] -239.49604303670375
[ 6.1936916  -0.61351552  3.45761727  3.95196664  3.58281449 -1.27104491] -239.79446449570196
[ 5.66687831 -0.5871819   2.7687907   4.20471544  3.75324549 -1.42034382] -239.67427646739768
[ 5.96720415 -0.4628459   2.63571775  4.25947663  3.85735546 -1.2847803 ] -239.25962920117797
[ 6.02801886 -0.53172738  2.51587526  4.33884448  3.95741779 -1.18014327] -239.17444501231438
[ 6.26628075 -0.18226209  2.65802462  4.20021178  3.82939822 -1.27842399] -239.59515567086459
[ 6.18127193 -0.22579623  3.19685777  4.07901269  3.55464593 -1.25625325] -239.49694333533736
[ 5.76714044 -0.51134686  3.05541852  4.13289005  3.6120115  -1.37193093] -239.52214294454055
[ 6.09611811 -0.62317105  3.02273389  4.42160281  4.12512658 -1.3293276 ] -239.2594624301182
[ 6.0971275  -0.20446655  3.37044805  4.13101996  3.83103275 -1.25741398] -239.31787285284298
[ 6.38432704 -0.19614625  3.00135215  4.29597947  4.08654178 -1.23389277] -239.32397069479515
[ 6.31141136 -0.66118553  3.09069653  4.18903188  3.78045581 -1.07796397] -239.21677927389948
[ 6.14964309 -0.66428631  2.83334532  4.40056535  4.26128838 -1.21664894] -239.33234012261454
[ 6.27980645 -0.50677683  2.85531366  4.53009245  4.34672614 -1.09183184] -238.9030675394963
[ 6.38183857 -0.53338981  2.7382188   4.76401092  4.68647509 -0.96776527] -238.82411057437804
[ 6.28330406 -0.25240921  3.0797629   4.31293115  3.89439488 -1.13218668] -239.12212049645296
[ 6.01494578 -0.7393036   2.937893    4.4231676   4.00509253 -1.08104082] -238.84918837321055
[ 6.27475141 -0.90926231  2.42461207  4.68550966  4.31862148 -0.99872856] -239.24704655977632
[ 6.33530524 -0.58592156  2.5729523   4.48289576  4.08902594 -0.81661526] -238.8310723701177
[ 6.17685654 -0.19205005  3.22052085  4.15145094  3.8189992  -1.08650987] -238.98134558819788
[ 6.09534499 -0.28374834  2.59771117  4.63540174  4.37001267 -1.01012308] -238.74222616735142
[ 5.9873118  -0.09502975  2.3512185   4.85858666  4.6647911  -0.97620263] -238.99535078409758
