[-0.72969944  0.99364956  1.1236009   1.22751645 -1.82805627 -0.60346769] -295.36006857938304
[ 2.53551031  0.17107406  1.05426347  1.29297196  2.00798323 -2.57218704] -225.21475192090517
[ 2.65233182 -0.12729714  0.97099235  1.63675397  2.0346045  -1.96223544] -225.2343753143351
[ 2.59070157  0.3592769   1.12444013  1.36241813  2.11971954 -2.25628448] -225.0880152990902
[ 2.7990759   0.11065256  1.01495116  1.5506142   2.05361398 -2.56001861] -225.09202111735422
[ 2.73292544  0.12587313  0.82259888  1.56270363  2.02076732 -2.24894603] -224.9300952721481
[ 2.83096996  0.11540412  0.60153623  1.65865979  2.01905187 -2.14320727] -224.9571996481544
[ 2.64429457  0.48437151  1.06686624  1.27205751  2.00574864 -2.84270433] -225.0867091184131
[ 2.79737749  0.2904328   0.98779605  1.60886804  2.03162504 -2.32292516] -224.85744423125038
[ 2.92831108  0.35011218  0.95456234  1.76681608  2.04344594 -2.19829422] -224.90842458336834
[ 2.91451807  0.45141146  1.22216464  1.55146104  2.12749361 -2.65583404] -224.9587806544582
[ 2.66704457  0.53452495  1.13815481  1.41613035  2.04049844 -2.38794382] -224.80647058271586
[ 2.6010289   0.74646114  1.19975664  1.34888843  2.03394067 -2.30190643] -224.809296861849
[ 2.90086656  0.34431662  1.0332374   1.6222305   1.94798584 -2.73556439] -225.24176231450969
[ 2.66824282  0.35553683  1.10163945  1.42737122  2.07678611 -2.37610446] -224.91849180043846
[ 2.85525631  0.17627712  1.10240236  1.76436235  2.0856359  -1.99361125] -224.92898907676465
[ 2.82657731  0.42051872  0.88946676  1.56757357  2.15061904 -2.14459501] -224.72660753453025
[ 2.88059384  0.51869471  0.71647416  1.5799977   2.23743702 -1.9582959 ] -224.76402195159892
[ 2.60128992  0.18297639  0.7918548   1.56420868  2.007817   -1.8355412 ] -224.96277192035356
[ 2.83621103  0.38430269  1.11458718  1.55464795  2.09757446 -2.45076083] -224.84272195520825
[ 2.81731107  0.59465791  1.28874999  1.55028087  2.14014568 -2.30970082] -224.79392092433196
[ 2.68233178  0.68371418  1.07106239  1.27726165  2.09344702 -2.67039878] -224.92937543855726
[ 2.81202518  0.30313639  1.09456737  1.64258717  2.08758868 -2.16280814] -224.81929692085674
[ 2.91727273  0.48698765  1.06946794  1.68599143  2.10589767 -2.2168068 ] -224.73328824640637
[ 2.82810314  0.61760996  1.2105353   1.5302024   2.17581629 -2.23461331] -224.73070152248985
[ 2.78656697  0.60150916  1.11572688  1.57627398  2.13594747 -2.03472847] -224.68962164279188
[ 2.76174494  0.71011239  1.11629673  1.587087    2.15513398 -1.82671229] -224.72013176163512
[ 2.80226675  0.78213306  1.14279986  1.46623036  2.16205285 -2.27998794] -224.68246045995835
[ 2.79738753  1.0216314   1.16691611  1.37805195  2.19928493 -2.33857785] -224.74938348859138
[ 2.99232142  0.63328054  1.10076076  1.70938719  2.24966123 -2.01886697] -224.65783252460184
[ 3.15495985  0.68265833  1.08206374  1.8560156   2.35424263 -1.83432854] -224.72486499676808
[ 2.9003917   0.58602179  0.88750251  1.62827211  2.18651917 -2.00016535] -224.61117312061523
[ 2.94193202  0.58170373  0.68687878  1.66726773  2.20970591 -1.84539761] -224.64121264367168
[ 2.79480303  0.72670343  1.04612942  1.47332177  2.24764102 -2.02084555] -224.7924899064064
[ 2.88665531  0.54691659  1.06363331  1.63282402  2.14133351 -2.16781649] -224.66480483371907
[ 2.90349002  0.57251666  0.85609473  1.663318    2.16622814 -1.98077343] -224.6209587656033
[ 2.93065341  0.82027389  1.16603926  1.65786165  2.19662841 -2.01618453] -224.61981842384105
[ 3.01869256  0.71220502  0.95654993  1.67635713  2.23152696 -2.11986977] -224.5970794972976
[ 3.13475536  0.76755294  0.87696146  1.7263987   2.2793167  -2.16244042] -224.6425002480144
[ 3.07513473  0.50827177  0.86739364  1.85644301  2.22857962 -1.82123757] -224.73589445888524
[ 2.87048374  0.71366774  1.07394831  1.56378352  2.17868454 -2.16530035] -224.6210738748997
[ 2.98535565  0.79907195  0.94999852  1.66683585  2.26174931 -1.93257031] -224.58273924254692
[ 3.03470582  0.92514962  0.89318113  1.68384177  2.32195721 -1.81494722] -224.61036488468724
[ 2.87736761  0.76797181  0.86261699  1.5760889   2.15745094 -2.05275428] -224.53857259185997
[ 2.8198907   0.83531744  0.74354511  1.50943976  2.1113458  -2.06969794] -224.51763792262076
[ 2.98234094  0.72813451  0.77929505  1.70357798  2.20598139 -1.87445343] -224.57185532412504
[ 2.9756183   0.9211582   0.97154873  1.61746349  2.23168888 -2.02354035] -224.52988632228607
[ 2.96344321  0.70702908  0.59677403  1.60945379  2.21297543 -1.99058118] -224.6096164111813
[ 3.01472208  0.98161694  0.77840128  1.63277055  2.23190342 -2.00340564] -224.522553664771
[ 2.96876353  0.95213894  1.12967218  1.65936113  2.21175649 -2.01726463] -224.59591529633386
[ 2.89687117  1.02694098  0.82760369  1.58679246  2.1866148  -1.85377433] -224.52239111777612
[ 2.92283608  0.81194107  0.55379195  1.5795989   2.19800471 -1.9018827 ] -224.5820240706826
